title,first_author,last_author,middle_authors,year,journal,doi,url
CCR7 ligands stimulate the intranodal motility of T lymphocytes in vivo,Worbs Tim,Förster Reinhold,Mempel Thorsten R.; Bölter Jasmin; von Andrian Ulrich H.,2007,The Journal of Experimental Medicine,10.1084/jem.20061706,https://doi.org/10.1084/jem.20061706
Viral targeting of fibroblastic reticular cells contributes to immunosuppression and persistence during chronic infection,Mueller Scott,Mueller Scott,,2007,,10.1073/pnas.0702579104,https://doi.org/10.1073/pnas.0702579104
Regulation of Homeostatic Chemokine Expression and Cell Trafficking During Immune Responses,Mueller Scott N.,Matloubian Mehrdad,Hosiawa-Meagher Karoline A.; Konieczny Bogumila T.; Sullivan Brandon M.; Bachmann Martin F.; Locksley Richard M.; Ahmed Rafi,2007,Science,10.1126/science.1144830,https://doi.org/10.1126/science.1144830
"Stromal Cell Networks Regulate Lymphocyte Entry, Migration, and Territoriality in Lymph Nodes",Bajénoff Marc,Germain Ronald N.,Egen Jackson; Koo Lily Y.; Laugier Jean Pierre; Brau Frédéric; Glaichenhaus Nicolas,2006,Immunity,10.1016/j.immuni.2006.10.011,https://doi.org/10.1016/j.immuni.2006.10.011
The Conduit System Transports Soluble Antigens from the Afferent Lymph to Resident Dendritic Cells in the T Cell Area of the Lymph Node,Sixt Michael,Sorokin Lydia,Kanazawa Nobuo; Selg Manuel; Samson Thomas; Roos Gunnel; Reinhardt Dieter P.; Pabst Reinhard; Lutz Manfred B.,2005,Immunity,10.1016/j.immuni.2004.11.013,https://doi.org/10.1016/j.immuni.2004.11.013
T cell homeostasis requires G protein-coupled receptor-mediated access to trophic signals that promote growth and inhibit chemotaxis,Cinalli Ryan M.,Rathmell Jeffrey C.,Herman Catherine E.; Lew Brian O.; Wieman Heather L.; Thompson Craig B.,2005,European Journal of Immunology,10.1002/eji.200425729,https://doi.org/10.1002/eji.200425729
Immunoarchitecture of distinct reticular fibroblastic domains in the white pulp of mouse spleen,Balogh Péter,Szakal Andras K.,Horváth Gábor,2004,The Journal of Histochemistry and Cytochemistry: Official Journal of the Histochemistry Society,10.1177/002215540405201005,https://doi.org/10.1177/002215540405201005
Lymph Node Fibroblastic Reticular Cells Construct the Stromal Reticulum via Contact with Lymphocytes,Katakai Tomoya,Shimizu Akira,Hara Takahiro; Sugai Manabu; Gonda Hiroyuki,2004,The Journal of Experimental Medicine,10.1084/jem.20040254,https://doi.org/10.1084/jem.20040254
A conduit system distributes chemokines and small blood-borne molecules through the splenic white pulp,Nolte Martijn A.,Mebius Reina E.,Beliën Jeroen A. M.; Schadee-Eestermans Inge; Jansen Wendy; Unger Wendy W. J.; van Rooijen Nico; Kraal Georg,2003,The Journal of Experimental Medicine,10.1084/jem.20021801,https://doi.org/10.1084/jem.20021801
Rapid Cytotoxic T Lymphocyte Activation Occurs in the Draining Lymph Nodes After Cutaneous Herpes Simplex Virus Infection as a Result of Early Antigen Presentation and Not the Presence of Virus,Mueller Scott N.,Carbone Francis R.,Jones Claerwen M.; Smith Chris M.; Heath William R.,2002,The Journal of Experimental Medicine,10.1084/jem.20012023,https://doi.org/10.1084/jem.20012023
T-Cell Function and Migration — Two Sides of the Same Coin,Andrian Ulrich H. von,Mackay Charles R.,,2000,New England Journal of Medicine,10.1056/NEJM200010053431407,https://doi.org/10.1056/NEJM200010053431407
Coexpression of the chemokines ELC and SLC by T zone stromal  cells and deletion of the ELC gene in the  plt/plt mouse,Luther Sanjiv A.,Cyster Jason G.,Tang H. Lucy; Hyman Paul L.; Farr Andrew G.,2000,Proceedings of the National Academy of Sciences of the United States of America,10.1073/pnas.97.23.12694,https://doi.org/10.1073/pnas.97.23.12694
Fibroblastic reticulum cells in human lymph nodes. An ultrastructural study,Tykocinski M.,Greco M. A.,Schinella R. A.,1983,Archives of Pathology & Laboratory Medicine,,
Studies on the structure and permeability of the microvasculature in normal rat lymph nodes.,Anderson A. O.,Anderson N. D.,,1975,The American Journal of Pathology,,
ULTRASTRUCTURAL FEATURES OF ANTIGEN CAPTURE IN PRIMARY AND SECONDARY LYMPHOID FOLLICLES,Nossal G. J. V.,Lummus Z.,Abbot A.; Mitchell Judith,1968,The Journal of Experimental Medicine,10.1084/jem.127.2.277,https://doi.org/10.1084/jem.127.2.277
The reticulum of lymph nodes in mice studied with the electron microscope,Clark S. L.,Clark S. L.,,1962,The American Journal of Anatomy,10.1002/aja.1001100303,https://doi.org/10.1002/aja.1001100303
