title,first_author,last_author,middle_authors,year,journal,doi,url
Fibroblastic reticular cells provide a supportive niche for lymph node–resident macrophages,D'Rozario Joshua,Fletcher Anne L.,Knoblich Konstantin; Lütge Mechthild; Shibayama Christian Pérez; Cheng Hung-Wei; Alexandre Yannick O.; Roberts David; Campos Joana; Dutton Emma E.; Suliman Muath; Denton Alice E.; Turley Shannon J.; Boyd Richard L.; Mueller Scott N.; Ludewig Burkhard; Heng Tracy S.P.,2023,European Journal of Immunology,10.1002/eji.202250355,https://doi.org/10.1002/eji.202250355
The extracellular matrix of lymph node reticular fibers modulates follicle border interactions and germinal center formation,Song Jian,Sorokin Lydia,Deshpande Tushar; Zhang Xueli; Hannocks Melanie-Jane; Lycke Nils; Cardell Susanna L.,2023,iScience,10.1016/j.isci.2023.106753,https://doi.org/10.1016/j.isci.2023.106753
Dictionary of immune responses to cytokines at single-cell resolution,Cui Ang,Hacohen Nir,Huang Teddy; Li Shuqiang; Ma Aileen; Pérez Jorge L.; Sander Chris; Keskin Derin B.; Wu Catherine J.; Fraenkel Ernest,2023,Nature,10.1038/s41586-023-06816-9,https://doi.org/10.1038/s41586-023-06816-9
Protective fibroblastic niches in secondary lymphoid organs,De Martin Angelina,Ludewig Burkhard,Stanossek Yves; Pikor Natalia Barbara,2023,Journal of Experimental Medicine,10.1084/jem.20221220,https://doi.org/10.1084/jem.20221220
Fibroblasts in metastatic lymph nodes confer cisplatin resistance to ESCC tumor cells via PI16,Liang Lily,Li Yan,Zhang Xu; Su Xiaodong; Zeng Tingting; Suo Daqin; Yun Jingping; Wang Xin; Guan Xin-Yuan,2023,Oncogenesis,10.1038/s41389-023-00495-x,https://doi.org/10.1038/s41389-023-00495-x
Dynamic CD8+ T cell responses to cancer immunotherapy in human regional lymph nodes are disrupted in metastatic lymph nodes,Rahim Maha K.,Spitzer Matthew H.,Okholm Trine Line H.; Jones Kyle B.; McCarthy Elizabeth E.; Liu Candace C.; Yee Jacqueline L.; Tamaki Stanley J.; Marquez Diana M.; Tenvooren Iliana; Wai Katherine; Cheung Alexander; Davidson Brittany R.; Johri Vrinda; Samad Bushra; O’Gorman William E.; Krummel Matthew F.; Zante Annemieke van; Combes Alexis J.; Angelo Michael; Fong Lawrence; Algazi Alain P.; Ha Patrick,2023,Cell,10.1016/j.cell.2023.02.021,https://doi.org/10.1016/j.cell.2023.02.021
Cancer cell plasticity and MHC-II–mediated immune tolerance promote breast cancer metastasis to lymph nodes,Lei Pin-Ji,Padera Timothy P.,Pereira Ethel R.; Andersson Patrik; Amoozgar Zohreh; Van Wijnbergen Jan Willem; O’Melia Meghan J.; Zhou Hengbo; Chatterjee Sampurna; Ho William W.; Posada Jessica M.; Kumar Ashwin S.; Morita Satoru; Menzel Lutz; Chung Charlie; Ergin Ilgin; Jones Dennis; Huang Peigen; Beyaz Semir,2023,Journal of Experimental Medicine,10.1084/jem.20221847,https://doi.org/10.1084/jem.20221847
Conserved stromal–immune cell circuits secure B cell homeostasis and function,Lütge Mechthild,Pikor Natalia B.,De Martin Angelina; Gil-Cruz Cristina; Perez-Shibayama Christian; Stanossek Yves; Onder Lucas; Cheng Hung-Wei; Kurz Lisa; Cadosch Nadine; Soneson Charlotte; Robinson Mark D.; Stoeckli Sandro J.; Ludewig Burkhard,2023,Nature Immunology,10.1038/s41590-023-01503-3,https://doi.org/10.1038/s41590-023-01503-3
PI16+ reticular cells in human palatine tonsils govern T cell activity in distinct subepithelial niches,De Martin Angelina,Ludewig Burkhard,Stanossek Yves; Lütge Mechthild; Cadosch Nadine; Onder Lucas; Cheng Hung-Wei; Brandstadter Joshua D.; Maillard Ivan; Stoeckli Sandro J.; Pikor Natalia B.,2023,Nature Immunology,10.1038/s41590-023-01502-4,https://doi.org/10.1038/s41590-023-01502-4
FRC transplantation restores lymph node conduit defects in laminin α4-deficient mice,Li Lushen,Bromberg Jonathan S.,Wu Long; Kensiski Allison; Zhao Jing; Shirkey Marina W.; Song Yang; Piao Wenji; Zhang Tianshu; Mei Zhongcheng; Gavzy Samuel J.; Ma Bing; Saxena Vikas; Lee Young S.; Xiong Yanbao; Li Xiaofei; Fan Xiaoxuan; Abdi Reza,2023,JCI insight,10.1172/jci.insight.167816,https://doi.org/10.1172/jci.insight.167816
Splenic stromal niches in homeostasis and immunity,Alexandre Yannick O.,Mueller Scott N.,,2023,Nature Reviews Immunology,10.1038/s41577-023-00857-x,https://doi.org/10.1038/s41577-023-00857-x
Fibroblastic reticular cells in lymph node potentiate white adipose tissue beiging through neuro-immune crosstalk in male mice,Cheong Lai Yee,Xu Aimin,Wang Baile; Wang Qin; Jin Leigang; Kwok Kelvin H. M.; Wu Xiaoping; Shu Lingling; Lin Huige; Chung Sookja Kim; Cheng Kenneth K. Y.; Hoo Ruby L. C.,2023,Nature Communications,10.1038/s41467-023-36737-0,https://doi.org/10.1038/s41467-023-36737-0
Intravital three-photon microscopy allows visualization over the entire depth of mouse lymph nodes,Choe Kibaek,Xu Chris,Hontani Yusaku; Wang Tianyu; Hebert Eric; Ouzounov Dimitre G.; Lai Kristine; Singh Ankur; Béguelin Wendy; Melnick Ari M.,2022,Nature Immunology,10.1038/s41590-021-01101-1,https://doi.org/10.1038/s41590-021-01101-1
Multitier mechanics control stromal adaptations in the swelling lymph node,Assen Frank P.,Sixt Michael,Abe Jun; Hons Miroslav; Hauschild Robert; Shamipour Shayan; Kaufmann Walter A.; Costanzo Tommaso; Krens Gabriel; Brown Markus; Ludewig Burkhard; Hippenmeyer Simon; Heisenberg Carl-Philipp; Weninger Wolfgang; Hannezo Edouard; Luther Sanjiv A.; Stein Jens V.,2022,Nature Immunology,10.1038/s41590-022-01257-4,https://doi.org/10.1038/s41590-022-01257-4
IFNAR signaling in fibroblastic reticular cells can modulate CD8+ memory fate decision,Knop Laura,Schüler Thomas,Spanier Julia; Larsen Pia-Katharina; Witte Amelie; Bank Ute; Dunay Ildiko R.; Kalinke Ulrich,2022,European Journal of Immunology,10.1002/eji.202149760,https://doi.org/10.1002/eji.202149760
Control of lymph node activity by direct local innervation,De Virgiliis Francesco,Scheiermann Christoph,Oliva Valeria Maria; Kizil Burak,2022,Trends in Neurosciences,10.1016/j.tins.2022.06.006,https://doi.org/10.1016/j.tins.2022.06.006
Stromal structure remodeling by B lymphocytes limits T cell activation in lymph nodes of Mycobacterium tuberculosis-infected mice,Daniel Lina,Feng Carl G.,Bhattacharyya Nayan D.; Counoupas Claudio; Cai Yi; Chen Xinchun; Triccas James A.; Britton Warwick J.,2022,The Journal of Clinical Investigation,10.1172/JCI157873,https://doi.org/10.1172/JCI157873
Human Papillary and Reticular Fibroblasts Show Distinct Functions on Tumor Behavior in 3D-Organotypic Cultures Mimicking Melanoma and HNSCC,Wu Shidi,El Ghalbzouri Abdoelwaheb,Rietveld Marion; Hogervorst Marieke; de Gruijl Frank; van der Burg Sjoerd; Vermeer Maarten; van Doorn Remco; Welters Marij,2022,International Journal of Molecular Sciences,10.3390/ijms231911651,https://doi.org/10.3390/ijms231911651
Characterization of CD41+ cells in the lymph node,Dai Li,Abdi Reza,Uehara Mayuko; Li Xiaofei; LaBarre Brenna A.; Banouni Naima; Ichimura Takaharu; Lee-Sundlov Melissa M.; Kasinath Vivek; Sullivan Jade A.; Ni Heyu; Barone Francesca; Giannini Silvia; Bahmani Baharak; Sage Peter T.; Patsopoulos Nikolaos A.; Tsokos George C.; Bromberg Jonathan S.; Hoffmeister Karin; Jiang Liwei,2022,Frontiers in Immunology,10.3389/fimmu.2022.801945,https://doi.org/10.3389/fimmu.2022.801945
Tumor-Derived Lactic Acid Modulates Activation and Metabolic Status of Draining Lymph Node Stroma,Riedel Angela,Shields Jacqueline D.,Helal Moutaz; Pedro Luisa; Swietlik Jonathan J.; Shorthouse David; Schmitz Werner; Haas Lisa; Young Timothy; da Costa Ana S. H.; Davidson Sarah; Bhandare Pranjali; Wolf Elmar; Hall Benjamin A.; Frezza Christian; Oskarsson Thordur,2022,Cancer Immunology Research,10.1158/2326-6066.CIR-21-0778,https://doi.org/10.1158/2326-6066.CIR-21-0778
Intestinal fibroblastic reticular cell niches control innate lymphoid cell homeostasis and function,Cheng Hung-Wei,Ludewig Burkhard,Mörbe Urs; Lütge Mechthild; Engetschwiler Céline; Onder Lucas; Novkovic Mario; Gil-Cruz Cristina; Perez-Shibayama Christian; Hehlgans Thomas; Scandella Elke,2022,Nature Communications,10.1038/s41467-022-29734-2,https://doi.org/10.1038/s41467-022-29734-2
Characterization of Leptin Receptor+ Stromal Cells in Lymph Node,Jiang Liwei,Abdi Reza,Yilmaz Mine; Uehara Mayuko; Cavazzoni Cecilia B.; Kasinath Vivek; Zhao Jing; Naini Said Movahedi; Li Xiaofei; Banouni Naima; Fiorina Paolo; Shin Su Ryon; Tullius Stefan G.; Bromberg Jonathan S.; Sage Peter T.,2022,Frontiers in Immunology,10.3389/fimmu.2021.730438,https://doi.org/10.3389/fimmu.2021.730438
Fibroblastic reticular cells mitigate acute graft-versus-host disease via MHCII-dependent maintenance of regulatory T cells,Shaikh Haroon,Beilhack Andreas,Pezoldt Joern; Mokhtari Zeinab; Gamboa Vargas Juan; Le Duc-Dung; Peña Mosca Josefina; Arellano-Viera Estibaliz; Kern Michael Ag; Graf Caroline; Beyersdorf Niklas; Lutz Manfred B.; Riedel Angela; Büttner-Herold Maike; Zernecke Alma; Einsele Hermann; Saliba Antoine-Emmanuel; Ludewig Burkhard; Huehn Jochen,2022,JCI insight,10.1172/jci.insight.154250,https://doi.org/10.1172/jci.insight.154250
Lymph node expansion predicts magnitude of vaccine immune response,Najibi Alexander J,Mooney David J,Lane Ryan S; Sobral Miguel C; Freedman Benjamin R; Estupinan Joel Gutierrez; Elosegui-Artola Alberto; Tringides Christina M; Dellacherie Maxence O; Williams Katherine; Müller Sören; Turley Shannon J,2022,,10.1101/2022.10.25.513749,https://doi.org/10.1101/2022.10.25.513749
Lymph node fibroblastic reticular cells regulate differentiation and function of CD4 T cells via CD25,Kim Dongeon,Lee Seung-Hyo,Kim Mingyo; Kim Tae Woo; Choe Yong-ho; Noh Hae Sook; Jeon Hyun Min; Kim HyunSeok; Lee Youngeun; Hur Gayeong; Lee Kyung-Mi; Shin Kihyuk; Lee Sang-il,2022,Journal of Experimental Medicine,10.1084/jem.20200795,https://doi.org/10.1084/jem.20200795
LRRC15+ myofibroblasts dictate the stromal setpoint to suppress tumour immunity,Krishnamurty Akshay T.,Turley Shannon J.,Shyer Justin A.; Thai Minh; Gandham Vineela; Buechler Matthew B.; Yang Yeqing Angela; Pradhan Rachana N.; Wang Amber W.; Sanchez Patricia L.; Qu Yan; Breart Beatrice; Chalouni Cécile; Dunlap Debra; Ziai James; Elstrott Justin; Zacharias Neelie; Mao Weiguang; Rowntree Rebecca K.; Sadowsky Jack; Lewis Gail D.; Pillow Thomas H.; Nabet Barzin Y.; Banchereau Romain; Tam Lucinda; Caothien Roger; Bacarro Natasha; Roose-Girma Merone; Modrusan Zora; Mariathasan Sanjeev; Müller Sören,2022,Nature,10.1038/s41586-022-05272-1,https://doi.org/10.1038/s41586-022-05272-1
A diverse fibroblastic stromal cell landscape in the spleen directs tissue homeostasis and immunity,Alexandre Yannick O.,Mueller Scott N.,Schienstock Dominik; Lee Hyun Jae; Gandolfo Luke C.; Williams Cameron G.; Devi Sapna; Pal Bhupinder; Groom Joanna R.; Cao Wang; Christo Susan N.; Gordon Claire L.; Starkey Graham; D’Costa Rohit; Mackay Laura K.; Haque Ashraful; Ludewig Burkhard; Belz Gabrielle T.,2022,Science Immunology,10.1126/sciimmunol.abj0641,https://doi.org/10.1126/sciimmunol.abj0641
Lymph node homeostasis and adaptation to immune challenge resolved by fibroblast network mechanics,Horsnell Harry L.,Acton Sophie E.,Tetley Robert J.; De Belly Henry; Makris Spyridon; Millward Lindsey J.; Benjamin Agnesska C.; Heeringa Lucas A.; de Winde Charlotte M.; Paluch Ewa K.; Mao Yanlan,2022,Nature Immunology,10.1038/s41590-022-01272-5,https://doi.org/10.1038/s41590-022-01272-5
Targeting TLR4 during vaccination boosts MAdCAM-1+ lymphoid stromal cell activation and promotes the aged germinal center response.,Denton Alice E,Linterman Michelle A,Dooley James; Cinti Isabella; Silva-Cayetano Alyssa; Fra-Bido Sigrid; Innocentin Silvia; Hill Danika L; Carr Edward J; McKenzie Andrew N J; Liston Adrian,2022,Science immunology,10.1126/SCIIMMUNOL.ABK0018/SUPPL_FILE/SCIIMMUNOL.ABK0018_TABLE_S1.ZIP,https://doi.org/10.1126/SCIIMMUNOL.ABK0018/SUPPL_FILE/SCIIMMUNOL.ABK0018_TABLE_S1.ZIP
Effector and stem-like memory cell fates are imprinted in distinct lymph node niches directed by CXCR3 ligands,Duckworth Brigette C.,Groom Joanna R.,Lafouresse Fanny; Wimmer Verena C.; Broomfield Benjamin J.; Dalit Lennard; Alexandre Yannick O.; Sheikh Amania A.; Qin Raymond Z.; Alvarado Carolina; Mielke Lisa A.; Pellegrini Marc; Mueller Scott N.; Boudier Thomas; Rogers Kelly L.,2021,Nature Immunology,10.1038/s41590-021-00878-5,https://doi.org/10.1038/s41590-021-00878-5
Lymph node stromal cells: subsets and functions in health and disease,Grasso C.,Van Baarsen L.G.M.,Pierie C.; Mebius R.E.,2021,Trends in Immunology,10.1016/j.it.2021.08.009,https://doi.org/10.1016/j.it.2021.08.009
Collagen type VI is the antigen recognized by the ER-TR7 antibody,Schiavinato Alvise,Wagener Raimund,Przyklenk Matthias; Kobbe Birgit; Paulsson Mats,2021,European Journal of Immunology,10.1002/eji.202149263,https://doi.org/10.1002/eji.202149263
Adenovirus vector vaccination reprograms pulmonary fibroblastic niches to support protective inflating memory CD8+ T cells,Cupovic Jovana,Ludewig Burkhard,Ring Sandra S.; Onder Lucas; Colston Julia M.; Lütge Mechthild; Cheng Hung-Wei; De Martin Angelina; Provine Nicholas M.; Flatz Lukas; Oxenius Annette; Scandella Elke; Krebs Philippe; Engeler Daniel; Klenerman Paul,2021,Nature Immunology,10.1038/s41590-021-00969-3,https://doi.org/10.1038/s41590-021-00969-3
Gremlin 1+ fibroblastic niche maintains dendritic cell homeostasis in lymphoid tissues,Kapoor Varun N.,Turley Shannon J.,Müller Sören; Keerthivasan Shilpa; Brown Markus; Chalouni Cecile; Storm Elaine E.; Castiglioni Alessandra; Lane Ryan; Nitschke Maximilian; Dominguez Claudia X.; Astarita Jillian L.; Krishnamurty Akshay T.; Carbone Catherine B.; Senbabaoglu Yasin; Wang Amber W.; Wu Xiumin; Cremasco Viviana; Roose-Girma Merone; Tam Lucinda; Doerr Jonas; Chen Mark Z.; Lee Wyne P.; Modrusan Zora; Yang Yeqing Angela; Bourgon Richard; Sandoval Wendy; Shaw Andrey S.; de Sauvage Frederic J.; Mellman Ira; Moussion Christine,2021,Nature Immunology,10.1038/s41590-021-00920-6,https://doi.org/10.1038/s41590-021-00920-6
Fibroblast-derived IL-33 is dispensable for lymph node homeostasis but critical for CD8 T-cell responses to acute and chronic viral infection,Aparicio-Domingo Patricia,Luther Sanjiv A.,Cannelle Hélène; Buechler Matthew B.; Nguyen Sylvain; Kallert Sandra M.; Favre Stéphanie; Alouche Nagham; Papazian Natalie; Ludewig Burkhard; Cupedo Tom; Pinschewer Daniel D.; Turley Shannon J.,2021,European Journal of Immunology,10.1002/eji.201948413,https://doi.org/10.1002/eji.201948413
Lymph nodes are innervated by a unique population of sensory neurons with immunomodulatory potential,Huang Siyi,Andrian Ulrich H. von,Ziegler Carly G. K.; Austin John; Mannoun Najat; Vukovic Marko; Ordovas-Montanes Jose; Shalek Alex K.,2021,Cell,10.1016/j.cell.2020.11.028,https://doi.org/10.1016/j.cell.2020.11.028
"Communication, construction, and fluid control: lymphoid organ fibroblastic reticular cell and conduit networks",Acton Sophie E.,Ludewig Burkhard,Onder Lucas; Novkovic Mario; Martinez Victor G.,2021,Trends in Immunology,10.1016/j.it.2021.07.003,https://doi.org/10.1016/j.it.2021.07.003
Differentiation and activation of fibroblastic reticular cells,Lütge Mechthild,Ludewig Burkhard,Pikor Natalia B.,2021,Immunological Reviews,10.1111/imr.12981,https://doi.org/10.1111/imr.12981
Cross-tissue organization of the fibroblast lineage,Buechler Matthew B.,Turley Shannon J.,Pradhan Rachana N.; Krishnamurty Akshay T.; Cox Christian; Calviello Aslihan Karabacak; Wang Amber W.; Yang Yeqing Angela; Tam Lucinda; Caothien Roger; Roose-Girma Merone; Modrusan Zora; Arron Joseph R.; Bourgon Richard; Müller Sören,2021,Nature,10.1038/s41586-021-03549-5,https://doi.org/10.1038/s41586-021-03549-5
"Fibroblastic reticular cell response to dendritic cells requires coordinated activity of podoplanin, CD44 and CD9",de Winde Charlotte M.,Acton Sophie E.,Makris Spyridon; Millward Lindsey J.; Cantoral-Rebordinos Jesús A.; Benjamin Agnesska C.; Martínez Víctor G.,2021,Journal of Cell Science,10.1242/jcs.258610,https://doi.org/10.1242/jcs.258610
IL-17–dependent fibroblastic reticular cell training boosts tissue protective mucosal immunity through IL-10–producing B cells,Wu Dongwen,McGeachy Mandy J.,Poholek Catherine H.; Majumder Saikat; Liu Qixing; Revu Shankar K.; Mohib Kanishka; Rothstein David M.,2021,Science Immunology,10.1126/sciimmunol.aao3669,https://doi.org/10.1126/sciimmunol.aao3669
Lymphocyte access to lymphoma is impaired by high endothelial venule regression,Menzel Lutz,Rehm Armin,Zschummel Maria; Crowley Tadhg; Franke Vedran; Grau Michael; Ulbricht Carolin; Hauser Anja; Siffrin Volker; Bajénoff Marc; Acton Sophie E.; Akalin Altuna; Lenz Georg; Willimsky Gerald; Höpken Uta E.,2021,Cell Reports,10.1016/j.celrep.2021.109878,https://doi.org/10.1016/j.celrep.2021.109878
"Fibroblasts as immune regulators in infection, inflammation and cancer",Davidson Sarah,Buckley Christopher D.,Coles Mark; Thomas Tom; Kollias George; Ludewig Burkhard; Turley Shannon; Brenner Michael,2021,Nature Reviews Immunology,10.1038/s41577-021-00540-z,https://doi.org/10.1038/s41577-021-00540-z
Invasive dedifferentiated melanoma cells inhibit JAK1-STAT3-driven actomyosin contractility of human fibroblastic reticular cells of the lymph node,Rovera Christopher,Prod'homme Virginie,Berestjuk Ilona; Lecacheur Margaux; Diazzi Serena; Mallavialle Aude; Albrengues Jean; Gaggioli Cédric; Girard Christophe; Passeron Thierry; Deckert Marcel; Tartare-Deckert Sophie,2021,bioRxiv,10.1101/2021.03.25.436913,https://doi.org/10.1101/2021.03.25.436913
Lymph node fibroblastic reticular cells steer immune responses.,Li Lushen,Bromberg Jonathan S.,Wu Jing; Abdi Reza; Jewell Christopher M.,2021,Trends in immunology,10.1016/j.it.2021.06.006,https://doi.org/10.1016/j.it.2021.06.006
Systemic Inflammation Suppresses Lymphoid Tissue Remodeling and B Cell Immunity during Concomitant Local Infection,Alexandre Yannick O.,Mueller Scott N.,Devi Sapna; Park Simone L.; Mackay Laura K.; Heath William R.,2020,Cell Reports,10.1016/j.celrep.2020.108567,https://doi.org/10.1016/j.celrep.2020.108567
IL‐7 derived from lymph node fibroblastic reticular cells is dispensable for naive T cell homeostasis but crucial for central memory T cell survival,Knop Laura,Schüler Thomas,Deiser Katrin; Bank Ute; Witte Amelie; Mohr Juliane; Philipsen Lars; Fehling Hans J.; Müller Andreas J.; Kalinke Ulrich,2020,European Journal of Immunology,10.1002/eji.201948368,https://doi.org/10.1002/eji.201948368
The lymph node stromal laminin α5 shapes alloimmunity,Li Lushen,Bromberg Jonathan S.,Shirkey Marina W.; Zhang Tianshu; Xiong Yanbao; Piao Wenji; Saxena Vikas; Paluskievicz Christina; Lee Young; Toney Nicholas; Cerel Benjamin M.; Li Qinshan; Simon Thomas; Smith Kyle D.; Hippen Keli L.; Blazar Bruce R.; Abdi Reza,2020,The Journal of Clinical Investigation,10.1172/JCI135099,https://doi.org/10.1172/JCI135099
YAP/TAZ direct commitment and maturation of lymph node fibroblastic reticular cells,Choi Sung Yong,Koh Gou Young,Bae Hosung; Jeong Sun-Hye; Park Intae; Cho Hyunsoo; Hong Seon Pyo; Lee Da-Hye; Lee Choong-kun; Park Jin-Sung; Suh Sang Heon; Choi Jeongwoon; Yang Myung Jin; Jang Jeon Yeob; Onder Lucas; Moon Jeong Hwan; Jeong Han-Sin; Adams Ralf H.; Kim Jin-Man; Ludewig Burkhard; Song Joo-Hye; Lim Dae-Sik,2020,Nature Communications,10.1038/s41467-020-14293-1,https://doi.org/10.1038/s41467-020-14293-1
Type I interferon signaling in fibroblastic reticular cells prevents exhaustive activation of antiviral CD8+ T cells,Perez-Shibayama Christian,Ludewig Burkhard,Islander Ulrika; Lütge Mechthild; Cheng Hung-Wei; Onder Lucas; Ring Sandra S.; De Martin Angelina; Novkovic Mario; Colston Julia; Gil-Cruz Cristina,2020,Science Immunology,10.1126/sciimmunol.abb7066,https://doi.org/10.1126/sciimmunol.abb7066
Topological Structure and Robustness of the Lymph Node Conduit System,Novkovic Mario,Ludewig Burkhard,Onder Lucas; Bocharov Gennady,2020,Cell Reports,10.1016/j.celrep.2019.12.070,https://doi.org/10.1016/j.celrep.2019.12.070
The fibroblastic T cell niche in lymphoid tissues The fibroblastic reticular cell family,Fletcher Anne L,Knoblich Konstantin,Baker Alfie T; Lukacs-Kornek Veronika,2020,Current Opinion in Immunology,10.1016/j.coi.2020.04.007,https://doi.org/10.1016/j.coi.2020.04.007
Attenuation of chronic antiviral T-cell responses through constitutive COX2-dependent prostanoid synthesis by lymph node fibroblasts,Schaeuble Karin,Luther Sanjiv A.,Cannelle Hélène; Favre Stéphanie; Huang Hsin-Ying; Oberle Susanne G.; Speiser Daniel E.; Zehn Dietmar,2019,PLoS biology,10.1371/journal.pbio.3000072,https://doi.org/10.1371/journal.pbio.3000072
High-resolution 3D imaging and topological mapping of the lymph node conduit system,Kelch Inken D.,Dunbar P. Rod,Bogle Gib; Sands Gregory B.; Phillips Anthony R. J.; LeGrice Ian J.,2019,PLoS Biology,10.1371/journal.pbio.3000486,https://doi.org/10.1371/journal.pbio.3000486
Origin and differentiation trajectories of fibroblastic reticular cells in the splenic white pulp,Cheng Hung-Wei,Ludewig Burkhard,Onder Lucas; Novkovic Mario; Soneson Charlotte; Lütge Mechthild; Pikor Natalia; Scandella Elke; Robinson Mark D.; Miyazaki Jun-ichi; Tersteegen Anne; Sorg Ursula; Pfeffer Klaus; Rülicke Thomas; Hehlgans Thomas,2019,Nature Communications,10.1038/s41467-019-09728-3,https://doi.org/10.1038/s41467-019-09728-3
Fibroblastic reticular cells enhance T cell metabolism and survival via epigenetic remodeling,Brown Flavian D.,Turley Shannon J.,Sen Debattama R.; LaFleur Martin W.; Godec Jernej; Lukacs-Kornek Veronika; Schildberg Frank A.; Kim Hye-Jung; Yates Kathleen B.; Ricoult Stéphane J. H.; Bi Kevin; Trombley Justin D.; Kapoor Varun N.; Stanley Illana A.; Cremasco Viviana; Danial Nika N.; Manning Brendan D.; Sharpe Arlene H.; Haining W. Nicholas,2019,Nature Immunology,10.1038/s41590-019-0515-x,https://doi.org/10.1038/s41590-019-0515-x
IL-17 metabolically reprograms activated fibroblastic reticular cells for proliferation and survival,Majumder Saikat,McGeachy Mandy J,Amatya Nilesh; Revu Shankar; Jawale Chetan V; Wu Dongwen; Rittenhouse Natalie; Menk Ashley; Kupul Saran; Du Fang; Raphael Itay; Bhattacharjee Amrita; Siebenlist Ulrich; Hand Timothy W; Delgoffe Greg M; Poholek Amanda C; Gaffen Sarah L; Biswas Partha S,2019,Nature immunology,10.1038/s41590-019-0367-4,https://doi.org/10.1038/s41590-019-0367-4
Embryonic FAP+ lymphoid tissue organizer cells generate the reticular network of adult lymph nodes,Denton Alice E.,Fearon Douglas T.,Carr Edward J.; Magiera Lukasz P.; Watts Andrew J. B.,2019,The Journal of Experimental Medicine,10.1084/jem.20181705,https://doi.org/10.1084/jem.20181705
Mechanosensing by Peyer's patch stroma regulates lymphocyte migration and mucosal antibody responses,Chang Jonathan E.,Carroll Michael C.,Buechler Matthew B.; Gressier Elise; Turley Shannon J.,2019,Nature Immunology,10.1038/s41590-019-0505-z,https://doi.org/10.1038/s41590-019-0505-z
Stromal cell networks coordinate immune response generation and maintenance,Alexandre Yannick O.,Mueller Scott N.,,2018,Immunological Reviews,10.1111/imr.12641,https://doi.org/10.1111/imr.12641
CCL19-producing fibroblastic stromal cells restrain lung carcinoma growth by promoting local antitumor T-cell responses,Cheng Hung-Wei,Ludewig Burkhard,Onder Lucas; Cupovic Jovana; Boesch Maximilian; Novkovic Mario; Pikor Natalia; Tarantino Ignazio; Rodriguez Regulo; Schneider Tino; Jochum Wolfram; Brutsche Martin,2018,Journal of Allergy and Clinical Immunology,10.1016/j.jaci.2017.12.998,https://doi.org/10.1016/j.jaci.2017.12.998
Single-Cell RNA Sequencing of Lymph Node Stromal Cells Reveals Niche-Associated Heterogeneity,Rodda Lauren B.,Cyster Jason G.,Lu Erick; Bennett Mariko L.; Sokol Caroline L.; Wang Xiaoming; Luther Sanjiv A.; Barres Ben A.; Luster Andrew D.; Ye Chun Jimmie,2018,Immunity,10.1016/j.immuni.2018.04.006,https://doi.org/10.1016/j.immuni.2018.04.006
Identification of a new subset of lymph node stromal cells involved in regulating plasma cell homeostasis,Huang Hsin-Ying,Luther Sanjiv A.,Rivas-Caicedo Ana; Renevey François; Cannelle Hélène; Peranzoni Elisa; Scarpellino Leonardo; Hardie Debbie L.; Pommier Arnaud; Schaeuble Karin; Favre Stéphanie; Vogt Tobias K.; Arenzana-Seisdedos Fernando; Schneider Pascal; Buckley Christopher D.; Donnadieu Emmanuel,2018,Proceedings of the National Academy of Sciences of the United States of America,10.1073/pnas.1712628115,https://doi.org/10.1073/pnas.1712628115
A Distinct Subset of Fibroblastic Stromal Cells Constitutes the Cortex-Medulla Boundary Subcompartment of the Lymph Node,Takeuchi Arata,Katakai Tomoya,Ozawa Madoka; Kanda Yasuhiro; Kozai Mina; Ohigashi Izumi; Kurosawa Yoichi; Rahman Md Azizur; Kawamura Toshihiko; Shichida Yuto; Umemoto Eiji; Miyasaka Masayuki; Ludewig Burkhard; Takahama Yousuke; Nagasawa Takashi,2018,Frontiers in Immunology,10.3389/fimmu.2018.02196,https://doi.org/10.3389/fimmu.2018.02196
Disrupted fibroblastic reticular cells and interleukin-7 expression in tumor draining lymph nodes,Gao Jianbao,Zhu Bo,Zhao Lintao; Liu Lina; Yang Yang; Guo Bo,2017,Oncology Letters,10.3892/ol.2017.6537,https://doi.org/10.3892/ol.2017.6537
Infection Programs Sustained Lymphoid Stromal Cell Responses and Shapes Lymph Node Remodeling upon Secondary Challenge,Gregory Julia L.,Mueller Scott N.,Walter Anne; Alexandre Yannick O.; Hor Jyh Liang; Liu Ruijie; Ma Joel Z.; Devi Sapna; Tokuda Nobuko; Owada Yuji; Mackay Laura K.; Smyth Gordon K.; Heath William R.,2017,Cell Reports,10.1016/j.celrep.2016.12.038,https://doi.org/10.1016/j.celrep.2016.12.038
Context-Dependent Development of Lymphoid Stroma from Adult CD34+ Adventitial Progenitors,Sitnik Katarzyna M.,Agace William W.,Wendland Kerstin; Weishaupt Holger; Uronen-Hansson Heli; White Andrea J.; Anderson Graham; Kotarsky Knut,2016,Cell Reports,10.1016/j.celrep.2016.02.033,https://doi.org/10.1016/j.celrep.2016.02.033
Topological Small-World Organization of the Fibroblastic Reticular Cell Network Determines Lymph Node Functionality,Novkovic Mario,Ludewig Burkhard,Onder Lucas; Cupovic Jovana; Abe Jun; Bomze David; Cremasco Viviana; Scandella Elke; Stein Jens V.; Bocharov Gennady; Turley Shannon J.,2016,PLoS Biology,10.1371/journal.pbio.1002515,https://doi.org/10.1371/journal.pbio.1002515
